date,will5000_std,gdp_std,interest_rate,buffett_ind,profit_margin
1971-01-01,1.8545253490193667,7.714247541531946,0.0414,0.24040262372123503,0.0548
1971-04-01,2.0488089570118717,7.857740010267033,0.0416,0.26073768721475504,0.054900000000000004
1971-07-01,1.9251739337439142,8.00319645359196,0.053099999999999994,0.24055062810308325,0.056799999999999996
1971-10-01,1.9075117875627774,8.088972534121169,0.052000000000000005,0.23581632642668135,0.059500000000000004
1972-01-01,2.137119687917556,8.36292320424425,0.0351,0.2555469703264704,0.0604
1972-04-01,2.243092565004377,8.605939575637416,0.0417,0.2606447030321193,0.06
1972-07-01,2.243092565004377,8.770376576157565,0.0455,0.2557578395324856,0.061500000000000006
1972-10-01,2.3137411497289246,9.030912416383272,0.050499999999999996,0.256202368382124,0.0622
1973-01-01,2.384389734453472,9.361091203310242,0.0594,0.25471279818428766,0.0635
1973-04-01,2.154781834098693,9.608436473712844,0.0712,0.224259362071429,0.0603
1973-07-01,2.2077682726421037,9.744018678009967,0.10400000000000001,0.2265767693594979,0.0621
1973-10-01,2.260754711185514,10.032505478401783,0.1001,0.2253429829719526,0.0605
1974-01-01,2.0134846646495985,10.133898215012133,0.0965,0.19868806869076963,0.0575
1974-04-01,1.8721874952005038,10.397893096989492,0.1051,0.1800545050556982,0.0538
1974-07-01,1.624917448664588,10.601562018987625,0.1292,0.15327151279729592,0.0466
1974-10-01,1.536606717758904,10.871034283385088,0.10060000000000001,0.14134871417960668,0.045700000000000005
1975-01-01,1.6425795948457251,10.982736187652131,0.0713,0.14956014300812162,0.0492
1975-04-01,1.8721874952005038,11.225596256569291,0.054900000000000004,0.16677844565315517,0.053
1975-07-01,1.960498226106188,11.619526066428007,0.061,0.16872445699576374,0.0572
1975-10-01,1.9428360799250513,11.972980330760501,0.0582,0.16226837648213574,0.06
1976-01-01,2.22543041882324,12.371592419139631,0.0487,0.17988229351787885,0.06280000000000001
1976-04-01,2.2784168573666506,12.588003390812322,0.0482,0.18099906606552169,0.061399999999999996
1976-07-01,2.3490654420911983,12.820595066631746,0.053099999999999994,0.18322592905263246,0.061399999999999996
1976-10-01,2.3490654420911983,13.144854746749893,0.050199999999999995,0.1787060783362412,0.0599
